time,accx,accy,accz,gyrx,gyry,gyrz
12:38:49.919,0,0,0,0,0,0
12:38:50.768,0.00,0,0,0,0,0
12:38:50.811,0.00,-0.05,0,0,0,0
12:38:50.817,0.00,-0.05,-0.97,0,0,0
12:38:50.823,0.00,-0.05,-0.97,1.37,0,0
12:38:50.828,0.00,-0.05,-0.97,1.37,-0.01,0
12:38:50.834,0.00,-0.05,-0.97,1.37,-0.01,1.18
12:38:51.797,0.00,-0.05,-0.97,1.37,-0.01,1.18
12:38:51.845,0.00,-0.05,-0.97,1.37,-0.01,1.18
12:38:51.849,0.00,-0.05,-0.98,1.37,-0.01,1.18
12:38:51.853,0.00,-0.05,-0.98,1.50,-0.01,1.18
12:38:51.858,0.00,-0.05,-0.98,1.50,-0.23,1.18
12:38:51.861,0.00,-0.05,-0.98,1.50,-0.23,1.21
12:38:52.834,0.01,-0.05,-0.98,1.50,-0.23,1.21
12:38:52.877,0.01,-0.06,-0.98,1.50,-0.23,1.21
12:38:52.889,0.01,-0.06,-0.97,1.50,-0.23,1.21
12:38:52.893,0.01,-0.06,-0.97,1.46,-0.23,1.21
12:38:52.912,0.01,-0.06,-0.97,1.46,-0.37,1.21
12:38:52.923,0.01,-0.06,-0.97,1.46,-0.37,1.30
12:38:53.867,0.01,-0.06,-0.97,1.46,-0.37,1.30
12:38:53.910,0.01,-0.05,-0.97,1.46,-0.37,1.30
12:38:53.917,0.01,-0.05,-0.98,1.46,-0.37,1.30
12:38:53.923,0.01,-0.05,-0.98,1.40,-0.37,1.30
12:38:53.926,0.01,-0.05,-0.98,1.40,0.02,1.30
12:38:53.934,0.01,-0.05,-0.98,1.40,0.02,1.19
12:38:54.900,0.01,-0.05,-0.98,1.40,0.02,1.19
12:38:54.943,0.01,-0.05,-0.98,1.40,0.02,1.19
12:38:54.952,0.01,-0.05,-0.98,1.40,0.02,1.19
12:38:54.956,0.01,-0.05,-0.98,1.52,0.02,1.19
12:38:54.959,0.01,-0.05,-0.98,1.52,-0.09,1.19
12:38:54.968,0.01,-0.05,-0.98,1.52,-0.09,1.31
12:38:55.943,0.00,-0.05,-0.98,1.52,-0.09,1.31
12:38:55.988,0.00,-0.06,-0.98,1.52,-0.09,1.31
12:38:55.994,0.00,-0.06,-0.97,1.52,-0.09,1.31
12:38:56.001,0.00,-0.06,-0.97,1.53,-0.09,1.31
12:38:56.004,0.00,-0.06,-0.97,1.53,-0.04,1.31
12:38:56.008,0.00,-0.06,-0.97,1.53,-0.04,1.27
12:38:56.963,-0.00,-0.06,-0.97,1.53,-0.04,1.27
12:38:57.009,-0.00,-0.05,-0.97,1.53,-0.04,1.27
12:38:57.017,-0.00,-0.05,-0.97,1.53,-0.04,1.27
12:38:57.020,-0.00,-0.05,-0.97,1.54,-0.04,1.27
12:38:57.024,-0.00,-0.05,-0.97,1.54,0.02,1.27
12:38:57.038,-0.00,-0.05,-0.97,1.54,0.02,1.30
12:38:58.029,0.01,-0.05,-0.97,1.54,0.02,1.30
12:38:58.042,0.01,-0.05,-0.97,1.54,0.02,1.30
12:38:58.050,0.01,-0.05,-0.98,1.54,0.02,1.30
12:38:58.054,0.01,-0.05,-0.98,1.52,0.02,1.30
12:38:58.058,0.01,-0.05,-0.98,1.52,-0.05,1.30
12:38:58.073,0.01,-0.05,-0.98,1.52,-0.05,1.19
12:38:59.033,0.01,-0.05,-0.98,1.52,-0.05,1.19
12:38:59.109,0.01,-0.06,-0.98,1.52,-0.05,1.19
12:38:59.113,0.01,-0.06,-0.98,1.52,-0.05,1.19
12:38:59.121,0.01,-0.06,-0.98,1.49,-0.05,1.19
12:38:59.124,0.01,-0.06,-0.98,1.49,-0.17,1.19
12:38:59.127,0.01,-0.06,-0.98,1.49,-0.17,1.04
12:39:00.063,0.00,-0.06,-0.98,1.49,-0.17,1.04
12:39:00.106,0.00,-0.05,-0.98,1.49,-0.17,1.04
12:39:00.114,0.00,-0.05,-0.97,1.49,-0.17,1.04
12:39:00.118,0.00,-0.05,-0.97,1.54,-0.17,1.04
12:39:00.121,0.00,-0.05,-0.97,1.54,-0.11,1.04
12:39:00.124,0.00,-0.05,-0.97,1.54,-0.11,1.26
12:39:01.106,0.01,-0.05,-0.97,1.54,-0.11,1.26
12:39:01.150,0.01,-0.05,-0.97,1.54,-0.11,1.26
12:39:01.157,0.01,-0.05,-0.97,1.54,-0.11,1.26
12:39:01.160,0.01,-0.05,-0.97,1.62,-0.11,1.26
12:39:01.166,0.01,-0.05,-0.97,1.62,-0.49,1.26
12:39:01.170,0.01,-0.05,-0.97,1.62,-0.49,1.15
12:39:02.125,0.01,-0.05,-0.97,1.62,-0.49,1.15
12:39:02.173,0.01,-0.06,-0.97,1.62,-0.49,1.15
12:39:02.180,0.01,-0.06,-0.96,1.62,-0.49,1.15
12:39:02.184,0.01,-0.06,-0.96,1.31,-0.49,1.15
12:39:02.187,0.01,-0.06,-0.96,1.31,-0.10,1.15
12:39:02.190,0.01,-0.06,-0.96,1.31,-0.10,1.16
12:39:03.162,0.01,-0.06,-0.96,1.31,-0.10,1.16
12:39:03.209,0.01,-0.05,-0.96,1.31,-0.10,1.16
12:39:03.216,0.01,-0.05,-0.99,1.31,-0.10,1.16
12:39:03.220,0.01,-0.05,-0.99,2.15,-0.10,1.16
12:39:03.223,0.01,-0.05,-0.99,2.15,-0.39,1.16
12:39:03.226,0.01,-0.05,-0.99,2.15,-0.39,1.11
12:39:04.196,0.02,-0.05,-0.99,2.15,-0.39,1.11
12:39:04.239,0.02,-0.05,-0.99,2.15,-0.39,1.11
12:39:04.245,0.02,-0.05,-0.97,2.15,-0.39,1.11
12:39:04.251,0.02,-0.05,-0.97,1.24,-0.39,1.11
12:39:04.254,0.02,-0.05,-0.97,1.24,0.53,1.11
12:39:04.257,0.02,-0.05,-0.97,1.24,0.53,1.28
12:39:05.218,0.01,-0.05,-0.97,1.24,0.53,1.28
12:39:05.271,0.01,-0.05,-0.97,1.24,0.53,1.28
12:39:05.277,0.01,-0.05,-0.98,1.24,0.53,1.28
12:39:05.283,0.01,-0.05,-0.98,1.56,0.53,1.28
12:39:05.286,0.01,-0.05,-0.98,1.56,0.11,1.28
12:39:05.290,0.01,-0.05,-0.98,1.56,0.11,1.03
12:39:06.258,0.01,-0.05,-0.98,1.56,0.11,1.03
12:39:06.309,0.01,-0.05,-0.98,1.56,0.11,1.03
12:39:06.315,0.01,-0.05,-0.98,1.56,0.11,1.03
12:39:06.319,0.01,-0.05,-0.98,1.39,0.11,1.03
12:39:06.322,0.01,-0.05,-0.98,1.39,-0.07,1.03
12:39:06.325,0.01,-0.05,-0.98,1.39,-0.07,1.26
12:39:07.294,0.01,-0.05,-0.98,1.39,-0.07,1.26
12:39:07.338,0.01,-0.05,-0.98,1.39,-0.07,1.26
12:39:07.345,0.01,-0.05,-0.98,1.39,-0.07,1.26
12:39:07.353,0.01,-0.05,-0.98,1.58,-0.07,1.26
12:39:07.356,0.01,-0.05,-0.98,1.58,-0.29,1.26
